,SMA,average_return
245,The 247 sma,0.0788824191436297
246,The 248 sma,0.0787186110277831
247,The 249 sma,0.07821667457987957
248,The 250 sma,0.0779017627903631
249,The 251 sma,0.07731286526548553
250,The 252 sma,0.07685341302267834
251,The 253 sma,0.07751426576898557
252,The 254 sma,0.07806954709748726
253,The 255 sma,0.0807140847665011
254,The 256 sma,0.08042260567411597
255,The 257 sma,0.07940372702225584
256,The 258 sma,0.08018326077673787
257,The 259 sma,0.08069934502948684
258,The 260 sma,0.0810402404315329
259,The 261 sma,0.08184338524139645
260,The 262 sma,0.08196460609341405
261,The 263 sma,0.08188769287719788
262,The 264 sma,0.0819662618368131
263,The 265 sma,0.08106694540803883
264,The 266 sma,0.08054985454608632
265,The 267 sma,0.0798723865705897
266,The 268 sma,0.07873638348044731
267,The 269 sma,0.07858790356568779
268,The 270 sma,0.08014791578268787
269,The 271 sma,0.07964419823411184
270,The 272 sma,0.07961207055115804
271,The 273 sma,0.07675175785553767
272,The 274 sma,0.07671100295081756
273,The 275 sma,0.07556461781511858
274,The 276 sma,0.07426254622508455
275,The 277 sma,0.07469920434998056
276,The 278 sma,0.0740531932462849
277,The 279 sma,0.06833744933137909
278,The 280 sma,0.06831370728820652
279,The 281 sma,0.06791072729442482
280,The 282 sma,0.07013157999896369
281,The 283 sma,0.06974205424220736
282,The 284 sma,0.0700533107582646
283,The 285 sma,0.06908063839007594
284,The 286 sma,0.06890933895520379
285,The 287 sma,0.0694028295634388
286,The 288 sma,0.06922603764654478
287,The 289 sma,0.06944972444389697
288,The 290 sma,0.07061587990310714
289,The 291 sma,0.07053635575326878
290,The 292 sma,0.06783777807241043
291,The 293 sma,0.06810534902808096
292,The 294 sma,0.06842255956160792
293,The 295 sma,0.06855806538315834
294,The 296 sma,0.06801508334595296
295,The 297 sma,0.06822673877610819
296,The 298 sma,0.06913765086363077
297,The 299 sma,0.06952083201743986
298,The 300 sma,0.06994314950126168
